Restaurant_address,Restaurant_name,online_order,book_table,Rating,Votes,location,restaurant_type,dish_liked,cuisines,Cost_for_two_people,reviews_list,listed_in_type,listed_in_city
"942, 21St Main Road, 2Nd Stage, Banashankari, Bangalore",Jalsa,Yes,Yes,4.1,775,Banashankari,Casual Dining,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","North Indian, Mughlai, Chinese",800,Very Good Service,Buffet,Banashankari
"2Nd Floor, 80 Feet Road, Near Big Bazaar, 6Th Block, Kathriguppe, 3Rd Stage, Banashankari, Bangalore",Spice Elephant,Yes,No,4.1,787,Banashankari,Casual Dining,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai",800,Very Good Service,Buffet,Banashankari
"1112, Next To Kims Medical College, 17Th Cross, 2Nd Stage, Banashankari, Bangalore",San Churro Cafe,Yes,No,3.8,918,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800,Good Food and Service,Buffet,Banashankari
"1St Floor, Annakuteera, 3Rd Stage, Banashankari, Bangalore",Addhuri Udupi Bhojana,No,No,3.7,88,Banashankari,Quick Bites,Masala Dosa,"South Indian, North Indian",300,Good Food and Service,Buffet,Jayanagar
"10, 3Rd Floor, Lakshmi Associates, Gandhi Bazaar Main Road, Above Reliance Trends, Basavanagudi, Bangalore",Grand Village,No,No,3.8,166,Basavanagudi,Casual Dining,"Panipuri, Gol Gappe","North Indian, Rajasthani",600,Good Food and Service,Buffet,Banashankari
"37, 5-1, 4Th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",Timepass Dinner,Yes,No,3.8,286,Basavanagudi,Casual Dining,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",North Indian,600,Good Food and Service,Buffet,Banashankari
"19/1, New Timberyard Layout, Beside Satellite Bus Stop, Mysore Road, Bangalore",Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,Mysore Road,Casual Dining,Not available,"North Indian, South Indian, Andhra, Chinese",800,Good Food and Service,Buffet,Banashankari
"2469, 3Rd Floor, 24Th Cross, Opposite Bda Complex, 2Nd Stage, Banashankari, Bangalore",Onesta,Yes,Yes,4.6,2556,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600,Best Experience,Cafes,Banashankari
"1, 30Th Main Road, 3Rd Stage, Banashankari, Bangalore",Penthouse Cafe,Yes,No,4,324,Banashankari,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700,Very Good Service,Delivery,Jayanagar
"2470, 21 Main Road, 25Th Cross, Banashankari, Bangalore",Smacznego,Yes,No,4.2,504,Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550,Very Good Service,Cafes,Kumaraswamy Layout
"12,29 Near Pes University Back Gate, D'Souza Nagar, Hosakerehalli, 3Rd Stage, Banashankari, Bangalore",cafe Down The Alley,Yes,No,4.1,402,Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500,Very Good Service,Cafes,Banashankari
"941, 3Rd Floor, 21St Main, 22Nd Cross, Banashankari 2Nd Stage, Opposite To Bda Complex, Banashankari",Cafe Shuffle,Yes,Yes,4.2,150,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600,Very Good Service,Cafes,Jayanagar
